padrao,vertente_id,vertente_nome,camada,prioridade,ganho,pureza,suporte,exemplos
IGREJA ASSEMBLIA,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,20,1.0,0,IGREJA ASSEMBLIA PETENCOSTAL | IGREJA ASSEMBLIA NAODA CRUZ | IGREJA ASSEMBLIA
IGREJA ENVANGELICA PENTECOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,20,1.0,0,IGREJA ENVANGELICA PENTECOSTAL MISSIONARIA | IGREJA ENVANGELICA PENTECOSTAL DOS ULTIMOS DIAS | IGREJA ENVANGELICA PENTECOSTAL UNIAO DOS APOSTOLOS
IGREJA ASSEMBLRIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,20,1.0,0,IGREJA ASSEMBLRIA DE DEUS | IGREJA ASSEMBLRIA DE DEUS CONGREGACAO LIBERDADE 1 | IGREJA ASSEMBLRIA DE DEUS MINISTERIO JETSEMANI
CENTRO ESPERITA,2826,Espírita,grafia,90,20,1.0,0,CENTRO ESPERITA RENASCER | CENTRO ESPERITA LUZ E FRATERNIDADE | CENTRO ESPERITA ZE BOIADEIRO
IGREJA ADVETISTA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,19,1.0,0,IGREJA ADVETISTA 7 DIA | IGREJA ADVETISTA | IGREJA ADVETISTA DA PROMESSA
IGREJA PRESIBITERIANA,100404,Evangélicas de Missão - Igreja Evangélica Presbiteriana,grafia,90,19,1.0,0,IGREJA PRESIBITERIANA BRASIL | IGREJA PRESIBITERIANA | IGREJA PRESIBITERIANA DA SERRA
IGREJA ADENTISTA DO SETIMO DIA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,19,1.0,0,IGREJA ADENTISTA DO SETIMO DIA
C0NGREGACAO CRISTA NO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,19,1.0,0,IGREJA C0NGREGACAO CRISTA NO BRASIL | C0NGREGACAO CRISTA NO BRASIL
IGREJA ASEEMBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,18,1.0,0,IGREJA ASEEMBLEIA DE DEUS VILA CARMOSINA | IGREJA ASEEMBLEIA DE DEUS | IGREJA ASEEMBLEIA DE DEUS MENSAGEIROS
IGREJA ASSEMBLEA,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,18,1.0,0,IGREJA ASSEMBLEA MIN NACAO | IGREJA ASSEMBLEA | IGREJA ASSEMBLEA DEUS
IGREJA EVNGELICA,121096,Evangélica não determinada,grafia,90,18,1.0,0,IGREJA EVNGELICA KADOSHI | IGREJA EVNGELICA FAMILIA MISSIONARIA | IGREJA EVNGELICA ASSENBLEIA DE DEUS
CASA DE CAMDOMBLE,2828,Candomblé,grafia,90,18,1.0,0,CASA DE CAMDOMBLE | CASA DE CAMDOMBLE NACAO QUETU | CASA DE CAMDOMBLE DE MARIVALDO
IGREJA APISTOLICA,95265,Evangélicas de origem pentecostal,grafia,90,18,1.0,0,IGREJA APISTOLICA MISSIONARIA | IGREJA APISTOLICA RESPLANDECER CRISTO | IGREJA APISTOLICA VINHO NOVO
CENTRO ESPRITA,2826,Espírita,grafia,90,18,1.0,0,CENTRO ESPRITA OGUM BEIRA MAR | CENTRO ESPRITA | CENTRO ESPRITA BEZERRA DE MENEZES
ASSWMBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,17,1.0,0,ASSWMBLEIA DE DEUS A VOZ QUE LIBERTA | ASSWMBLEIA DE DEUS NOVO HORIZONTE | ASSWMBLEIA DE DEUS FONTE DE AGUA VIVQ
IGREJA EVAMGELICA,121096,Evangélica não determinada,grafia,90,17,1.0,0,IGREJA EVAMGELICA MISSIONARIA | IGREJA EVAMGELICA DE ADORACAO A DEUS DO AMAZONAS | IGREJA EVAMGELICA
MADEIRA,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,17,1.0,0,IGREJA DE MADEIRA DE CULTO EVANGELICO ABANDONADA | IGREJA DE MADEIRA | CASA MADEIRA LADO IGREJA
IGREJA EVANGELIVA,121096,Evangélica não determinada,grafia,90,17,1.0,0,IGREJA EVANGELIVA SANTIFICADOS EM CRISTO | IGREJA EVANGELIVA PETECOSTA PENIEL | IGREJA EVANGELIVA NOVO ALVORECER
ASSEMBLEIS DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,17,1.0,0,ASSEMBLEIS DE DEUS BRASA VIVA | ASSEMBLEIS DE DEUS MINISTERIO DEUS IMUTAVEL | ASSEMBLEIS DE DEUS NOVA VIDA
IGREJA DO EVANGELHO QUADRANCULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,17,1.0,0,IGREJA DO EVANGELHO QUADRANCULAR EM OBRA | IGREJA DO EVANGELHO QUADRANCULAR | IGREJA DO EVANGELHO QUADRANCULAR PONTAL
IGREJA PREBITERIANA DO BRASIL,100404,Evangélicas de Missão - Igreja Evangélica Presbiteriana,grafia,90,17,1.0,0,IGREJA PREBITERIANA DO BRASIL
IGREJA ADVENISTA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,17,1.0,0,IGREJA ADVENISTA D SETIMO DIA | IGREJA ADVENISTA
IGREJA CRISTAN MARANATA,100414,Evangélicas de origem pentecostal - Igreja Maranata,grafia,90,16,1.0,0,IGREJA CRISTAN MARANATA | ANTIGA IGREJA CRISTAN MARANATA
IGREJA PENTEGOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,16,1.0,0,IGREJA PENTEGOSTAL | IGREJA PENTEGOSTAL CRISTO LIBERTA | IGREJA PENTEGOSTAL ARCA DE JESUS
IGREJA PENTCOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,16,1.0,0,IGREJA PENTCOSTAL DE MISSOES GRANDE COLHEITA | IGREJA PENTCOSTAL TEMPLO SANTO | IGREJA PENTCOSTAL DA BENCAO DE DEUS
ASSEMBELEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,16,1.0,0,ASSEMBELEIA DE DEUS FACA A DIFERENCA | ASSEMBELEIA DE DEUS CIADSETA | ASSEMBELEIA DE DEUS EM VIEIRAS
IGREJA PENTEOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,16,1.0,0,IGREJA PENTEOSTAL OPERANDO DEUS QUEM IMPEDIRA | IGREJA PENTEOSTAL | IGREJA PENTEOSTAL DEUS E AMR
IGREJA BATSTA,99741,Evangélicas de Missão - Igreja Evangélica Batista,grafia,90,16,1.0,0,IGREJA BATSTA | IGREJA BATSTA NACIONAL FOGO E UNCAO | IGREJA BATSTA JARDIM SILVEIRA
IGREJA EVAGENLICA,121096,Evangélica não determinada,grafia,90,16,1.0,0,IGREJA EVAGENLICA BATISTA DO TICOCA | IGREJA EVAGENLICA ASSENBLEIA DE DEUS | IGREJA EVAGENLICA
IGREJA ESSEMBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,16,1.0,0,IGREJA ESSEMBLEIA DE DEUS | IGREJA ESSEMBLEIA DE DEUS MONTE MORIA
IGREJA ASSEMBLEIS DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,16,1.0,0,IGREJA ASSEMBLEIS DE DEUS | IGREJA ASSEMBLEIS DE DEUS APOSTOLICA | IGREJA ASSEMBLEIS DE DEUS VITORIA DA ALIANCA
IGREJA EVSNGELICA,121096,Evangélica não determinada,grafia,90,16,1.0,0,IGREJA EVSNGELICA ISRAEL DE DEUS | IGREJA EVSNGELICA A PALAVRA DE CRISTO PARA O BRASIL | IGREJA EVSNGELICA
IGREJA EVANJELICA PENTECOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,16,1.0,0,IGREJA EVANJELICA PENTECOSTAL CONSAGRADA | IGREJA EVANJELICA PENTECOSTAL ATALAIA CR | IGREJA EVANJELICA PENTECOSTAL
IGREJA AVENTISTA DO SETIMO DIA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,16,1.0,0,IGREJA AVENTISTA DO SETIMO DIA
IGREJA ASSEMPLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,15,1.0,0,IGREJA ASSEMPLEIA DE DEUS | IGREJA ASSEMPLEIA DE DEUS NOVA ALIANCA | IGREJA ASSEMPLEIA DE DEUS CAMPO CRISTO REDENTOR
CONGREGAO CRISTA DO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,15,1.0,0,CONGREGAO CRISTA DO BRASIL | IGREJA CONGREGAO CRISTA DO BRASIL
IGREJA PEBTECOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,15,1.0,0,IGREJA PEBTECOSTAL JESUS E A VIDA | IGREJA PEBTECOSTAL RAPIDO DESPOJO PRESA SEGURA | IGREJA PEBTECOSTAL VITORIA EM CRISTO
IGREJA PENDECOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,15,1.0,0,IGREJA PENDECOSTAL VOZ DE DEUS | IGREJA PENDECOSTAL | IGREJA PENDECOSTAL CONSERVADORA
IGREJA OENTECOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,15,1.0,0,IGREJA OENTECOSTAL MANANCIAL | IGREJA OENTECOSTAL ALIANCA ETERNA | IGREJA OENTECOSTAL UNUDOS OELA FE
IGREJA UNIERSAL,99745,Evangélicas de origem pentecostal - Igreja Universal do Reino de Deus,grafia,90,15,1.0,0,SAIDA LATERAL DA IGREJA UNIERSAL | IGREJA UNIERSAL DO RINO DE DEUS | IGREJA UNIERSAL DE REINO DE DEUS
IGREJA DO EVANGELHO QUADRIANGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,15,1.0,0,IGREJA DO EVANGELHO QUADRIANGULAR | 2 IGREJA DO EVANGELHO QUADRIANGULAR
CENTRO ESPIRIRA,2826,Espírita,grafia,90,15,1.0,0,CENTRO ESPIRIRA | CENTRO ESPIRIRA A CAMINHO DO PROGRESSO | CENTRO ESPIRIRA EURIPEDES BARSANULFO
IGREJA EVABGELICA,121096,Evangélica não determinada,grafia,90,15,1.0,0,PAZ E VIDA IGREJA EVABGELICA | IGREJA EVABGELICA | IGREJA EVABGELICA AGUA VIDA
IGREJA ASDEMBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,15,1.0,0,ADNA IGREJA ASDEMBLEIA DE DEUS NOVA ALIANCA | IGREJA ASDEMBLEIA DE DEUS
CONGREGACAO CRITA DO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,15,1.0,0,OFICINA DA CONGREGACAO CRITA DO BRASIL | IGREJA CONGREGACAO CRITA DO BRASIL | CONGREGACAO CRITA DO BRASIL
IGREJA PETENCONSTAL,95265,Evangélicas de origem pentecostal,grafia,90,14,1.0,0,IGREJA PETENCONSTAL ADONAI | IGREJA PETENCONSTAL DEUS E JUSTICA | IGREJA PETENCONSTAL PODER E GLORIA DE DEUS
IGREJA CATOLOCA,95263,Católica Apostólica Romana,grafia,90,14,1.0,0,IGREJA CATOLOCA | SECRETARIA ANEXO A IGREJA CATOLOCA SAO JOSE | IGREJA CATOLOCA SAO JOSE
IGREJA EVANGELUCA PENTECOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,14,1.0,0,IGREJA EVANGELUCA PENTECOSTAL CHAM DIVINA | IGREJA EVANGELUCA PENTECOSTAL SUBINDO PARA O CEU | IGREJA EVANGELUCA PENTECOSTAL DA MISSOES
IGREJA IVANGELICA,121096,Evangélica não determinada,grafia,90,14,1.0,0,IGREJA IVANGELICA IRMAOS MENONITAS | IGREJA IVANGELICA FILADELFA | IGREJA IVANGELICA FONTE BIBLICA
IGREJA DO EVANGELHO QUANDRAGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,14,1.0,0,10 IGREJA DO EVANGELHO QUANDRAGULAR | IGREJA DO EVANGELHO QUANDRAGULAR
CONGREGASSAO CRISTA NO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,14,1.0,0,CONGREGASSAO CRISTA NO BRASIL | IGREJA CONGREGASSAO CRISTA NO BRASIL
IGREJA PENTRCOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,14,1.0,0,IGREJA PENTRCOSTAL DEUS E SMOR | IGREJA PENTRCOSTAL | IGREJA PENTRCOSTAL JESUS E VIDA
CENTRO EDPIRITA,2826,Espírita,grafia,90,14,1.0,0,CENTRO EDPIRITA | CENTRO EDPIRITA INZO MONA MONA TAMBANIRE | CENTRO EDPIRITA OMOBA
IGREJA ADENTISTA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,14,1.0,0,IGREJA ADENTISTA 7 DIA | IGREJA ADENTISTA 7 DIA SALAS DE ESTUDO E | IGREJA ADENTISTA
IGREJA CONCREGACAO CRISTA,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,14,1.0,0,IGREJA CONCREGACAO CRISTA BRASIL | IGREJA CONCREGACAO CRISTA
IGREJA QUADRANCULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,14,1.0,0,IGREJA QUADRANCULAR FAMILIA GLOBAL | IGREJA QUADRANCULAR | IGREJA QUADRANCULAR CHURH KM 33
IGREJA DO EVANGELHO QUDRANGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,14,1.0,0,IGREJA DO EVANGELHO QUDRANGULAR | IGREJA DO EVANGELHO QUDRANGULAR TEMPLO M
IGREJA NEOPENTECOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,13,1.0,0,IGREJA NEOPENTECOSTAL | IGREJA NEOPENTECOSTAL LUZ DA VERDADE | IGREJA NEOPENTECOSTAL MUNDIAL
IGREJA QUDRANGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,13,1.0,0,ESCOLA DOMINICAL IGREJA QUDRANGULAR | IGREJA QUDRANGULAR | IGREJA QUDRANGULAR FAMILIA GLOBAL
IGREJA PENTENCONSTAL,95265,Evangélicas de origem pentecostal,grafia,90,13,1.0,0,IGREJA PENTENCONSTAL DESPERTAR DA FE | IGREJA PENTENCONSTAL DEUS E O CAMINHO | IGREJA PENTENCONSTAL MARAVILHAS DE JESUS
IGREJA INTERNACINAL DA GRACA DE DEUS,99748,Evangélicas de origem pentecostal - outras,grafia,90,13,1.0,0,IGREJA INTERNACINAL DA GRACA DE DEUS
IGREJA UNIVESAL,99745,Evangélicas de origem pentecostal - Igreja Universal do Reino de Deus,grafia,90,13,1.0,0,IGREJA UNIVESAL DA PAZ | IGREJA UNIVESAL DA VOLTA DE CRISTO | IGREJA UNIVESAL
CENTRO DE CANDONBLE,2828,Candomblé,grafia,90,13,1.0,0,CENTRO DE CANDONBLE INZO IA NZAMBI | CENTRO DE CANDONBLE
IGREJA ADVENTSTA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,13,1.0,0,IGREJA ADVENTSTA A PROMESSA | IGREJA ADVENTSTA | IGREJA ADVENTSTA DA PROMESSAA
COMGREGACAO CRISTA NO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,13,1.0,0,COMGREGACAO CRISTA NO BRASIL | IGREJA COMGREGACAO CRISTA NO BRASIL | SALA DE ORACAO DA COMGREGACAO CRISTA NO BRASIL
CINGREGACAO CRISTA NO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,13,1.0,0,IGREJA CINGREGACAO CRISTA NO BRASIL | CINGREGACAO CRISTA NO BRASIL
CONGREGRACAO CRISTA,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,13,1.0,0,CONGREGRACAO CRISTA | CONGREGRACAO CRISTA BRASIL | CONGREGRACAO CRISTA NO BR
IGREJA DO EVANGELIO QUADRAGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,13,1.0,0,IGREJA DO EVANGELIO QUADRAGULAR
CONGRGACAO CRISTA DO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,12,1.0,0,IGREJA CONGRGACAO CRISTA DO BRASIL | IGREJA DA CONGRGACAO CRISTA DO BRASIL | CONGRGACAO CRISTA DO BRASIL
CONGRAGACAO CRISTA DO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,12,1.0,0,IGREJA CONGRAGACAO CRISTA DO BRASIL | CONGRAGACAO CRISTA DO BRASIL
IGREJA AASEMBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,12,1.0,0,IGREJA AASEMBLEIA DE DEUS EBENEZER | IGREJA AASEMBLEIA DE DEUS | IGREJA AASEMBLEIA DE DEUS MISSAO XEREM
IGREJA PENTEVOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,12,1.0,0,IGREJA PENTEVOSTAL MISSIONARIA DEUS PROVERA | IGREJA PENTEVOSTAL | IGREJA PENTEVOSTAL PODER DO MESSIAS
IGREJA EVANGEKICA,121096,Evangélica não determinada,grafia,90,12,1.0,0,IGREJA EVANGEKICA DO CALVARIO | IGREJA EVANGEKICA QUADRANCULAR | IGREJA EVANGEKICA
IGREJA ASSEBREIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,12,1.0,0,IGREJA ASSEBREIA DE DEUS | IGREJA ASSEBREIA DE DEUS MISSAO
CONGRECACAO BATISTA,99741,Evangélicas de Missão - Igreja Evangélica Batista,grafia,90,12,1.0,0,CONGRECACAO BATISTA CRISTO REDENTOR | IGREJA CONGRECACAO BATISTA BIBLICA ALIANCA 1 | CONGRECACAO BATISTA SHALOM
IGREJA PENTECOSPAL,95265,Evangélicas de origem pentecostal,grafia,90,12,1.0,0,IGREJA PENTECOSPAL | IGREJA PENTECOSPAL VIVA O SENHOR | IGREJA PENTECOSPAL DE JESUS CRISTO
IGREJA EVANVELICA,121096,Evangélica não determinada,grafia,90,12,1.0,0,IGREJA EVANVELICA MISSIONARIA | IGREJA EVANVELICA LUZ DI MUNDO | IGREJA EVANVELICA EVANGELHO PLENO
IGREJA PRESBITERINA,100404,Evangélicas de Missão - Igreja Evangélica Presbiteriana,grafia,90,12,1.0,0,IGREJA PRESBITERINA DA MANGUEIRA | IGREJA PRESBITERINA | IGREJA PRESBITERINA IV CENTENARIO
IGREJA CONGREGRACAO CRISTA,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,12,1.0,0,IGREJA CONGREGRACAO CRISTA | IGREJA CONGREGRACAO CRISTA BRASIL
IGREJA COGREGACAO CRISTA,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,12,1.0,0,IGREJA COGREGACAO CRISTA | IGREJA COGREGACAO CRISTA NO
TEREIRO,2827,Umbanda e Candomblé,grafia,90,12,1.0,0,TEREIRO DE MATRIZ AFRICANO INZO MUKI VULA | A TENDA DE CABOCLO ROXO TEREIRO DE SANTA LUZIA | TEREIRO DE CANDOBLE
IGREJA EVANGELICS,121096,Evangélica não determinada,grafia,90,12,1.0,0,IGREJA EVANGELICS | IGREJA EVANGELICS ADMS | IGREJA EVANGELICS MINISTERIO KLESIS
IGREJA CATOICA,95263,Católica Apostólica Romana,grafia,90,11,1.0,0,IGREJA CATOICA | IGREJA CATOICA SAO BENEDITO | USO DE REUNIAO IGREJA CATOICA
IGREJA EVANGELHO QUADRAGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,11,1.0,0,IGREJA EVANGELHO QUADRAGULAR
CONGREGAO CRISTA NO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,11,1.0,0,IGREJA CONGREGAO CRISTA NO BRASIL | IGREJ CONGREGAO CRISTA NO BRASIL | CONGREGAO CRISTA NO BRASIL
IGREJA PENTECOSAL,95265,Evangélicas de origem pentecostal,grafia,90,11,1.0,0,IGREJA PENTECOSAL SANTUARIO DE DEUS | IGREJA PENTECOSAL DEUS E FIEL | IGREJA PENTECOSAL NOVA SIAO
IGREJA PETENCISTAL,95265,Evangélicas de origem pentecostal,grafia,90,11,1.0,0,IGREJA PETENCISTAL VIVENDO A PALAVRA DE DEUS | IGREJA PETENCISTAL DO RENOVO | IGREJA PETENCISTAL
IGREJA PRESPITERIANA,100404,Evangélicas de Missão - Igreja Evangélica Presbiteriana,grafia,90,11,1.0,0,IGREJA PRESPITERIANA | IGREJA PRESPITERIANA VIDA | IGREJA PRESPITERIANA UNIAO DA VILA PROLETARIADA DA PENHA
IGREJA PENTECSTAL,95265,Evangélicas de origem pentecostal,grafia,90,11,1.0,0,IGREJA PENTECSTAL JESUS CRISTO | IGREJA PENTECSTAL | IGREJA PENTECSTAL JESUS DA GALILEIA
IGREJA ADVESTISTA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,11,1.0,0,IGREJA ADVESTISTA DA PROMESSA | IGREJA ADVESTISTA | IGREJA ADVESTISTA SETIMO DIA
IGREJA ASSEMLEIA,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,11,1.0,0,IGREJA ASSEMLEIA DEUS | IGREJA ASSEMLEIA DOS FIEIS | IGREJA ASSEMLEIA
IGREJA ENVANGELICA LUTERANA,100403,Evangélicas de Missão - Igreja Evangélica Luterana,grafia,90,11,1.0,0,IGREJA ENVANGELICA LUTERANA DO BRASIL | IGREJA ENVANGELICA LUTERANA CRISTO SALVA | IGREJA ENVANGELICA LUTERANA NO BRASIL
CONGEGACAO CRISTA NO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,11,1.0,0,IGREJA CONGEGACAO CRISTA NO BRASIL | CONGEGACAO CRISTA NO BRASIL
IGREJA PENTESCONTAL,95265,Evangélicas de origem pentecostal,grafia,90,10,1.0,0,IGREJA PENTESCONTAL ORACAO PELA FE | IGREJA PENTESCONTAL VIDA EM CRISTO | IGREJA PENTESCONTAL JESUS E LUZ
IGREJAS DE CRISTO,99743,Evangélicas de Missão - outras,grafia,90,10,1.0,0,IGREJAS DE CRISTO DO BRASIL | UNIAO DAS IGREJAS DE CRISTO | UNIAO DAS IGREJAS DE CRISTO DO BRASIL
CENTRO DE UMBADA,2829,Umbanda,grafia,90,10,1.0,0,CENTRO DE UMBADA | CENTRO DE UMBADA JOSE VAQUEIRO | CENTRO DE UMBADA OBALUAE
IGREJA PETENCOATAL,95265,Evangélicas de origem pentecostal,grafia,90,10,1.0,0,IGREJA PETENCOATAL EBENEZER | IGREJA PETENCOATAL LABAREDAS DO SENHOR | IGREJA PETENCOATAL
IGREJA PENTECODTAL,95265,Evangélicas de origem pentecostal,grafia,90,10,1.0,0,IGREJA PENTECODTAL | IGREJA PENTECODTAL DEUS E ETERNO | IGREJA PENTECODTAL LIVRE P ADORAR
IGREJA CATOLCA,95263,Católica Apostólica Romana,grafia,90,10,1.0,0,IGREJA CATOLCA S JOAO BATISTA | IGREJA CATOLCA | COMUNIDADE IGREJA CATOLCA
IGREJA PETECONSTAL,95265,Evangélicas de origem pentecostal,grafia,90,10,1.0,0,IGREJA PETECONSTAL GRANDE E O SENHOR DOS EXERCITOS | IGREJA PETECONSTAL DO EVANGELIO PLENO | IGREJA PETECONSTAL
IGREJA PENTENCISTAL,95265,Evangélicas de origem pentecostal,grafia,90,10,1.0,0,IGREJA PENTENCISTAL DA RECONCILIACAO | IGREJA PENTENCISTAL | IGREJA PENTENCISTAL DOS ULTIMOS DUAS
IGREJA ASSRMBLEIA,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,10,1.0,0,IGREJA ASSRMBLEIA DR DEUD | IGREJA ASSRMBLEIA PENTECOSTAL | IGREJA ASSRMBLEIA DR DEUS
IGREJA EVANGELIA PENTECOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,10,1.0,0,IGREJA EVANGELIA PENTECOSTAL DEUS E FIEL | IGREJA EVANGELIA PENTECOSTAL EMANUEL | IGREJA EVANGELIA PENTECOSTAL
IGREJA ASSAMBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,10,1.0,0,IGREJA ASSAMBLEIA DE DEUS | IGREJA ASSAMBLEIA DE DEUS MISSOES | IGREJA ASSAMBLEIA DE DEUS DO ARREBATAMEN
CONGRECACAO CRISTA,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,10,1.0,0,CONGRECACAO CRISTA BO BRASIL | CONGRECACAO CRISTA BRASIL | CONGRECACAO CRISTA
IGREJA EVANGLICA PENTECOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,10,1.0,0,IGREJA EVANGLICA PENTECOSTAL | IGREJA EVANGLICA PENTECOSTAL CRISTA | IGREJA EVANGLICA PENTECOSTAL ADONAY
IGREJA MUDIAL,99748,Evangélicas de origem pentecostal - outras,grafia,90,10,1.0,0,IGREJA MUDIAL | IGREJA MUDIAL PODER DEUS | IGREJA MUDIAL DO PODER DEUS
IGREJA QUANDRAGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,10,1.0,0,IGREJA QUANDRAGULAR | IGREJA QUANDRAGULAR BRAVA GENTE | IGREJA QUANDRAGULAR VIVENDO PELA FE
IGREJA ADENTISTA DO 7 DIA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,10,1.0,0,IGREJA ADENTISTA DO 7 DIA
IGREJA ADVEBTISTA DO SETIMO DIA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,10,1.0,0,IGREJA ADVEBTISTA DO SETIMO DIA
COGREGACAO CRISTA,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,10,1.0,0,COGREGACAO CRISTA | COGREGACAO CRISTA FUNDOS | COGREGACAO CRISTA BRASIL
IGREJA DO ENVAGELHO QUADRANGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,10,1.0,0,IGREJA DO ENVAGELHO QUADRANGULAR | IGREJA DO ENVAGELHO QUADRANGULAR CATEDRAL DA ESPERANCA
IGREJA EVANGELIGA,121096,Evangélica não determinada,grafia,90,9,1.0,0,IGREJA EVANGELIGA PENT NOVA JERUSALEM | IGREJA EVANGELIGA OBRA LIBERTACAO | IGREJA EVANGELIGA ADONAI
IGREJA PRESBITRIANA,100404,Evangélicas de Missão - Igreja Evangélica Presbiteriana,grafia,90,9,1.0,0,IGREJA PRESBITRIANA CHINESA DE PORTO ALE | IGREJA PRESBITRIANA
IGREJA EVANGELA,121096,Evangélica não determinada,grafia,90,9,1.0,0,IGREJA EVANGELA | IGREJA EVANGELA PRONTO SOCORRO DOS FILHO | IGREJA EVANGELA REI DAA NACOES
IGREJA DO EVAGELHO QUADRAGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,9,1.0,0,IGREJA DO EVAGELHO QUADRAGULAR
